transaction_id,user_id,timestamp,amount,state,lat,lon,channel,merchant_category,device_id,is_new_device,seconds_since_prev,distance_from_prev_km,hour,weekday,is_fraud
1,1,2024-01-25 22:07:58,45.1,WA,47.6062,-122.3321,POS,Clothing,DEV-8OB3DU6H,0,,0.0,22,Thursday,0
2,1,2024-01-29 23:58:57,64.27,WA,47.6062,-122.3321,POS,Clothing,DEV-8OB3DU6H,0,352259.0,0.0,23,Monday,0
3,1,2024-02-07 17:27:28,111.6,WA,47.6062,-122.3321,Online,Electronics,DEV-8OB3DU6H,0,754111.0,0.0,17,Wednesday,0
4,1,2024-03-04 19:24:37,109.66,TX,29.7604,-95.3698,Online,Restaurants,DEV-8OB3DU6H,0,2253429.0,3040.5,19,Monday,0
5,1,2024-03-28 12:57:31,96.71,WA,47.6062,-122.3321,POS,Fuel,DEV-8OB3DU6H,0,2050374.0,3040.5,12,Thursday,0
6,1,2024-04-17 10:29:42,59.03,WA,47.6062,-122.3321,Online,Gaming,DEV-H8CE2VQB,1,1719131.0,0.0,10,Wednesday,0
7,1,2024-05-30 14:53:16,28.54,WA,47.6062,-122.3321,Online,Grocery,DEV-8OB3DU6H,0,3731014.0,0.0,14,Thursday,0
8,1,2024-06-17 12:04:20,82.68,WA,47.6062,-122.3321,POS,Restaurants,DEV-8OB3DU6H,0,1545064.0,0.0,12,Monday,1
9,1,2024-06-29 07:45:57,173.56,WA,47.6062,-122.3321,POS,Fuel,DEV-8OB3DU6H,0,1021297.0,0.0,7,Saturday,0
10,1,2024-08-25 06:38:21,132.53,WA,47.6062,-122.3321,Online,Grocery,DEV-8OB3DU6H,0,4920744.0,0.0,6,Sunday,0
11,1,2024-09-05 14:07:52,63.07,WA,47.6062,-122.3321,Mobile,Electronics,DEV-8OB3DU6H,0,977371.0,0.0,14,Thursday,0
12,1,2024-10-05 12:41:12,112.93,AZ,33.4484,-112.074,POS,Grocery,DEV-8OB3DU6H,0,2586800.0,1793.58,12,Saturday,0
